Номер заказа;Статус;Контрольная точка;Дней в КТ;Тип;Причины задержки;Наличие СЗ;Наличие претензии;Наличие возвратной ведомости
1437715516;Вручено;КТ11: Вручены, но числятся на складе более суток;2;Интернет магазин;;Нет;Нет;Нет
1438843476;Вручено;КТ11: Вручены, но числятся на складе более суток;1;Интернет магазин;;Нет;Нет;Нет
1431694797;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;4;Доставка;;Да;Нет;Нет
1436589023;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;2;Доставка;;Нет;Нет;Нет
1438799567;Выдано на доставку;КТ8: Выданы на доставку более суток;3;Доставка;;Нет;Нет;Нет
1438444744;Встречено в оф.-получателе;КТ5: Встречены в г.-получателе/транзите уже как сутки и более;1;Доставка;;Нет;Нет;Нет
1438908610;Встречено в оф.-получателе;КТ5: Встречены в г.-получателе/транзите уже как сутки и более;1;Доставка;;Нет;Нет;Нет
1438975054;Встречено в оф.-получателе;КТ5: Встречены в г.-получателе/транзите уже как сутки и более;1;Доставка;;Нет;Нет;Нет
1438989243;Встречено в оф.-получателе;КТ5: Встречены в г.-получателе/транзите уже как сутки и более;1;Интернет магазин;;Нет;Нет;Нет
1438584968;Встречено в оф.-получателе;КТ5: Встречены в г.-получателе/транзите уже как сутки и более;1;Доставка;;Нет;Нет;Нет
1431121264;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;0;Интернет магазин;;Да;Нет;Нет
1432667391;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;12;Доставка;;Нет;Нет;Нет
1435658238;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;0;Интернет магазин;;Нет;Нет;Нет
1435762547;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;0;Интернет магазин;;Нет;Нет;Нет
1436747826;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;0;Доставка;;Нет;Нет;Нет
1436765962;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;1;Доставка;;Нет;Нет;Нет
1437601234;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;0;Доставка;;Нет;Нет;Нет
1437674511;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;0;Доставка;;Нет;Нет;Нет
1437794424;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;0;Доставка;;Нет;Нет;Нет
1436388790;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;0;Интернет магазин;;Нет;Нет;Нет
1437372984;Принято в оф.-получателе до востребования;КТ7: Истёк срок хранения;0;Доставка;;Да;Нет;Нет
